# VB6 Control Property Descriptor Tables
# Extracted from MSVBVM60.DLL v6.00.9848 runtime descriptor pointer tables.
# Each row represents one entry in a control's property pointer table.
# Status: active=serializable, fontsub=flag-only, skip=runtime-only, sep=separator, obj=COM object ref
#
# Descriptor Table VAs:
#   Timer:          0x66028A50 (9 entries)
#   Label:          0x66027040 (47 entries)
#   CommandButton:  0x660283C8 (43 entries)
#   TextBox:        0x66026A40 (58 entries)
#   CheckBox:       0x66025A78 (49 entries)
#   OptionButton:   0x66027BB0 (43 entries)
#   Frame:          0x660256A8 (35 entries)
#   PictureBox:     0x66027FD8 (69 entries)
#   ListBox:        0x66002330 (56 entries)
#   ComboBox:       0x66025F30 (56 entries)
#   HScrollBar:     0x660286B0 (27 entries)
#   VScrollBar:     0x660286B0 (27 entries, shared with HScrollBar)
#   Image:          0x660272E8 (29 entries)
#   Shape:          0x66028900 (19 entries)
#   Line:           0x66027748 (14 entries)
#   Data:           0x660241E8 (46 entries)
#   DriveListBox:   0x660265D0 (38 entries)
#   DirListBox:     0x660262D0 (40 entries)
#   FileListBox:    0x6601E8C0 (49 entries)
#   Menu:           0x66027940 (14 entries)
#   OLE:            0x66025000 (75 entries)
#   Form:           0x660226B0 (75 entries)
#   MDIForm:        0x660226B0 (75 entries, shared with Form)
#   PropertyPage:   0x6602A3F0 (78 entries)
#   UserControl:    0x66029530 (94 entries)
#   UserDocument:   0x66029D10 (88 entries)
#
control_type,index,name,ser_type,callback_bytes,status,flags,descriptor_va
ComboBox,23,Sorted,4,0,active,0x00E13204,0x66025EC8
ComboBox,24,SelStart,3,0,flag,0x00204C03,0x66025EA8
ComboBox,25,SelLength,3,0,flag,0x00204C03,0x66025E98
ComboBox,26,SelText,1,0,flag,0x00204C01,0x66025EB8
ComboBox,27,Parent,25,0,skip,0x80003819,0x66001F10
ComboBox,28,DragMode,6,0,active,0x80C12606,0x66001ED0
ComboBox,29,DragIcon,21,0,active,0x84C1A215,0x66001EC0
ComboBox,30,TabStop,4,0,active,0x80C14404,0x66002000
ComboBox,31,Tag,13,0,active,0x80C1220D,0x66001DD0
ComboBox,32,hWnd,3,0,flag,0x80003803,0x66001D30
ComboBox,33,ItemData,3,0,active,0x00264503,0x66025EF0
ComboBox,34,NewIndex,2,0,flag,0x00003802,0x66025F00
ComboBox,35,HelpContextID,3,0,active,0x80C12203,0x66001DB0
ComboBox,36,IMEMode,6,0,active,0xC0C16606,0x66114018
ComboBox,37,MouseIcon,21,0,active,0x84C1A615,0x66001D40
ComboBox,38,Font,20,0,active,0x80224414,0x66001CC0
ComboBox,39,DataSource,1,0,active,0x82F13201,0x66001FE0
ComboBox,40,DataField,1,0,active,0x80F12601,0x66001FD0
ComboBox,41,DataChanged,4,0,flag,0x80106E04,0x66001FC0
ComboBox,42,WhatsThisHelpID,3,0,active,0x80C12203,0x66001EF0
ComboBox,43,Appearance,6,0,active,0x80C12606,0x66001CA0
ComboBox,44,Container,32,0,skip,0x80004C20,0x66001FB0
ComboBox,45,IntegralHeight,4,0,active,0x00413604,0x66025F10
ComboBox,46,RightToLeft,4,0,active,0x80C14404,0x66114000
ComboBox,47,ToolTipText,1,0,active,0x80D12401,0x66001F20
ComboBox,48,OLEDragMode,6,0,active,0x80412206,0x660021A0
ComboBox,49,OLEDropMode,6,0,active,0x80412406,0x66001D70
ComboBox,50,Locked,4,0,active,0x00C12604,0x66025F20
ComboBox,51,TopIndex,2,0,flag,0x00204C02,0x660021C0
ComboBox,52,CausesValidation,4,0,active,0x80C12204,0x66002010
ComboBox,53,DataMember,33,0,active,0x80F12621,0x660020A0
ComboBox,54,DataFormat,22,0,active,0x84654416,0x66002070
ComboBox,55,DataSource(obj),22,0,flag,0x84244C16,0x66002088
CommandButton,0,Name,18,0,skip,0x8400D412,0x66001E50
CommandButton,1,Caption,1,0,active,0x80EA4401,0x66022290
CommandButton,2,Index,17,0,active,0x84C1D411,0x66001F00
CommandButton,3,BackColor,5,0,active,0x80F12405,0x66022260
CommandButton,4,LeftTop,8,4,active,0x90222408,0x66001DC0
CommandButton,5,Top,10,0,flag,0x9020240A,0x66001DE0
CommandButton,6,Width,9,0,flag,0x90202409,0x66001E00
CommandButton,7,Height,11,0,flag,0x9020240B,0x66001DA0
CommandButton,8,Enabled,4,0,active,0x80E14404,0x66001D90
CommandButton,9,Visible,4,0,active,0x80E14404,0x66001DF0
CommandButton,10,MousePointer,6,0,active,0x80C12406,0x66001D50
CommandButton,11,FontName,1,0,active,0x90224C01,0x66001CF0
CommandButton,12,FontSize,7,0,flag,0x90304C07,0x66001D00
CommandButton,13,FontBold,4,0,flag,0x90204C04,0x66001CD0
CommandButton,14,FontItalic,4,0,flag,0x90204C04,0x66001CE0
CommandButton,15,FontStrikethru,4,0,flag,0x90204C04,0x66001D10
CommandButton,16,FontUnderline,4,0,flag,0x90204C04,0x66001D20
CommandButton,17,TabIndex,2,0,active,0x84012402,0x66001FF0
CommandButton,18,Value,4,0,flag,0x00202C04,0x660283A0
CommandButton,19,Default,4,0,active,0x84C14404,0x66025348
CommandButton,20,Cancel,4,0,active,0x84C14404,0x660252F0
CommandButton,21,Parent,25,0,skip,0x80003819,0x66001F10
CommandButton,22,DragMode,6,0,active,0x80C12606,0x66001ED0
CommandButton,23,DragIcon,21,0,active,0x84C1A215,0x66001EC0
