enum_name,const_name,value
VbIMEStatus,vbIMEHiragana,4
VbIMEStatus,vbIMEModeHiragana,4
VbIMEStatus,vbIMEKatakanaDbl,5
VbIMEStatus,vbIMEModeKatakana,5
VbIMEStatus,vbIMEKatakanaSng,6
VbIMEStatus,vbIMEModeKatakanaHalf,6
VbIMEStatus,vbIMEAlphaDbl,7
VbIMEStatus,vbIMEModeAlphaFull,7
VbIMEStatus,vbIMEAlphaSng,8
VbIMEStatus,vbIMEModeAlpha,8
VbIMEStatus,vbIMEModeHangulFull,9
VbIMEStatus,vbIMEModeHangul,10
VbMsgBoxResult,vbOK,1
VbMsgBoxResult,vbCancel,2
VbMsgBoxResult,vbAbort,3
VbMsgBoxResult,vbRetry,4
VbMsgBoxResult,vbIgnore,5
VbMsgBoxResult,vbYes,6
VbMsgBoxResult,vbNo,7
VbMsgBoxStyle,vbOKOnly,0
VbMsgBoxStyle,vbDefaultButton1,0
VbMsgBoxStyle,vbApplicationModal,0
VbMsgBoxStyle,vbOKCancel,1
VbMsgBoxStyle,vbAbortRetryIgnore,2
VbMsgBoxStyle,vbYesNoCancel,3
VbMsgBoxStyle,vbYesNo,4
VbMsgBoxStyle,vbRetryCancel,5
VbMsgBoxStyle,vbCritical,16
VbMsgBoxStyle,vbQuestion,32
VbMsgBoxStyle,vbExclamation,48
VbMsgBoxStyle,vbInformation,64
VbMsgBoxStyle,vbDefaultButton2,256
VbMsgBoxStyle,vbDefaultButton3,512
VbMsgBoxStyle,vbDefaultButton4,768
VbMsgBoxStyle,vbSystemModal,4096
VbMsgBoxStyle,vbMsgBoxHelpButton,16384
VbMsgBoxStyle,vbMsgBoxSetForeground,65536
VbMsgBoxStyle,vbMsgBoxRight,524288
VbMsgBoxStyle,vbMsgBoxRtlReading,1048576
VbStrConv,vbUpperCase,1
VbStrConv,vbLowerCase,2
VbStrConv,vbProperCase,3
VbStrConv,vbWide,4
VbStrConv,vbNarrow,8
VbStrConv,vbKatakana,16
VbStrConv,vbHiragana,32
VbStrConv,vbUnicode,64
VbStrConv,vbFromUnicode,128
VbTriState,vbUseDefault,-2
VbTriState,vbTrue,-1
VbTriState,vbFalse,0
VbVarType,vbEmpty,0
VbVarType,vbNull,1
VbVarType,vbInteger,2
VbVarType,vbLong,3
VbVarType,vbSingle,4
VbVarType,vbDouble,5
VbVarType,vbCurrency,6
VbVarType,vbDate,7
VbVarType,vbString,8
VbVarType,vbObject,9
VbVarType,vbError,10
VbVarType,vbBoolean,11
VbVarType,vbVariant,12
VbVarType,vbDataObject,13
VbVarType,vbDecimal,14
VbVarType,vbByte,17
VbVarType,vbUserDefinedType,36
VbVarType,vbArray,8192
ZOrderConstants,vbBringToFront,0
ZOrderConstants,vbSendToBack,1
